Duplicate_Meeting_Flag,CTERM_TERM_CD,Term,Acad_Year,Class_Subject_Code,Class_Catalog_NBR,Class_Section,Short_Class_Description,Course_Description,Class_Component_Code,Class_Component,Day10_Enroll,Instruction_Mode_Code,Class_Subject,Instruction_Mode,Course_Topic_Description,Class_Acad_Org_Code,Class_Acad_Org,Class_Academic_Career_Code,Class_Academic_Career,Class_Academic_Group_Code,Class_Academic_Group,Enrollment_Cap,Room_Capacity_Request,Class_Type_Code,Class_Type_Descr,Course_Grading_Basis,Max_Credits,Min_Credits,Variable_Credits_Flag,Class_Campus_Code,Class_Campus,Class_Location,Building_Code,Room,Room_Type_Code,Room_Capacity,Class_Days,Class_Duration,Class_Start_Time,Class_End_Time,Class_Meeting_Start_Raw,Class_Meeting_End_Raw,CLASS_START_DATE,CLASS_END_DATE,Meeting_Pattern_Descr,Standard_Meeting_Pattern,Associated_Class,Number_of_PIs,Number_of_SIs,Number_of_TAs,Allow_Multi_Enroll_Flag,Equivalent_Course_ID,Equivalent_Course,Course_Fee_Flag,Allowable_FinAid_Credits,Course_Repeat_Limit,Autoenroll_Section_Key,Autoenroll_1,Autoenroll_2,CLASS_SID,CLASS_SESSION_CD,Course_ID,Course_Offer_SID,Course_Offer_Number,Class_Number,Course_Topic_ID,CLASS_SCHED_PRINT_INSTR,Course_SID,Class_Primary_Key,crosslist_dup,crosslist_id,Crosslisted_Enrollment_Cap,Crosslisted_Enrollment_Total,Crosslist_Combination_Type,crosslist_descr,CrossListed_Course_Flag
Class of Record,1243,Spring2024,2023,MCB,3841W,001,Rsrch Lit in Molec & Cell Bio,Research Literature in Molecular and Cell Biology,LSA,Lecture - Stand Alone,17,P,Molecular and Cell Biology,In Person,Molecular Evol of Infect Dis,MOLCELLBIO,Molecular and Cell Biology,UGRD,Undergraduate,UCONN,University of Connecticut,19,19,E,Enrollment Section,Graded,3,3,,STORR,Storrs,STORRS,0318,124,CSRM,34,NYNYNYN,50,48300,51300,01:25:00 PM,02:15:00 PM,2024-01-16,2024-04-26,,,1,1,,,Y,00507,MCB 241 w/skill codes,N,3,99,1243_MCB_3841W_001,,,248720088,1,002520,34026997,1,7737,37,Y,34012607,1243+7737+MCB+3841W+001,,,,,,,
Class of Record,1243,Spring2024,2023,MCB,3841W,002,Rsrch Lit in Molec & Cell Bio,Research Literature in Molecular and Cell Biology,LSA,Lecture - Stand Alone,18,P,Molecular and Cell Biology,In Person,Anti-Aging Therapeutics,MOLCELLBIO,Molecular and Cell Biology,UGRD,Undergraduate,UCONN,University of Connecticut,19,19,E,Enrollment Section,Graded,3,3,,STORR,Storrs,STORRS,0001,303,CSRM,20,NNYNYNN,75,39600,44100,11:00:00 AM,12:15:00 PM,2024-01-16,2024-04-26,,,2,1,,1,Y,00507,MCB 241 w/skill codes,N,3,99,1243_MCB_3841W_002,,,248721308,1,002520,34026997,1,7738,36,Y,34012607,1243+7738+MCB+3841W+002,,,,,,,
Class of Record,1243,Spring2024,2023,MCB,3246,001,Virology,Virology,LSA,Lecture - Stand Alone,22,P,Molecular and Cell Biology,In Person,,MOLCELLBIO,Molecular and Cell Biology,UGRD,Undergraduate,UCONN,University of Connecticut,25,25,E,Enrollment Section,Graded,3,3,,STORR,Storrs,STORRS,0252,301,CSRM,45,NYNYNYN,50,36600,39600,10:10:00 AM,11:00:00 AM,2024-01-16,2024-04-26,,,1,1,,1,N,,,N,3,1,1243_MCB_3246_001,,,248720092,1,002521,34026667,1,7739,0,Y,,1243+7739+MCB+3246+001,1,1243-0126,40,32,B,MCB 3246/5240 (001),C
Class of Record,1243,Spring2024,2023,MCB,4997W,001,Senior Honors Research Thesis,Senior Honors Research Thesis,THE,Thesis Research,2,AR,Molecular and Cell Biology,By Arrangement,,MOLCELLBIO,Molecular and Cell Biology,UGRD,Undergraduate,UCONN,University of Connecticut,5,5,E,Enrollment Section,Honors Credit,3,3,,STORR,Storrs,STORRS,NRRSTOR,ARR,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,1,1,,,N,,,N,3,1,1243_MCB_4997W_001,,,248721311,1,002527,34021148,1,7740,0,Y,,1243+7740+MCB+4997W+001,,,,,,,
Class of Record,1243,Spring2024,2023,MCB,4997W,002,Senior Honors Research Thesis,Senior Honors Research Thesis,THE,Thesis Research,2,AR,Molecular and Cell Biology,By Arrangement,,MOLCELLBIO,Molecular and Cell Biology,UGRD,Undergraduate,UCONN,University of Connecticut,5,5,E,Enrollment Section,Honors Credit,3,3,,STORR,Storrs,STORRS,NRRSTOR,ARR,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,2,1,,,N,,,N,3,1,1243_MCB_4997W_002,,,248720093,1,002527,34021148,1,7741,0,Y,,1243+7741+MCB+4997W+002,,,,,,,
Class of Record,1243,Spring2024,2023,MCB,4997W,003,Senior Honors Research Thesis,Senior Honors Research Thesis,THE,Thesis Research,3,AR,Molecular and Cell Biology,By Arrangement,,MOLCELLBIO,Molecular and Cell Biology,UGRD,Undergraduate,UCONN,University of Connecticut,5,5,E,Enrollment Section,Honors Credit,3,3,,STORR,Storrs,STORRS,NRRSTOR,ARR,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,3,1,,,N,,,N,3,1,1243_MCB_4997W_003,,,248720175,1,002527,34021148,1,7742,0,Y,,1243+7742+MCB+4997W+003,,,,,,,
Class of Record,1243,Spring2024,2023,MCB,4997W,004,Senior Honors Research Thesis,Senior Honors Research Thesis,THE,Thesis Research,2,AR,Molecular and Cell Biology,By Arrangement,,MOLCELLBIO,Molecular and Cell Biology,UGRD,Undergraduate,UCONN,University of Connecticut,5,5,E,Enrollment Section,Honors Credit,3,3,,STORR,Storrs,STORRS,NRRSTOR,ARR,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,4,1,,,N,,,N,3,1,1243_MCB_4997W_004,,,248721399,1,002527,34021148,1,7743,0,Y,,1243+7743+MCB+4997W+004,,,,,,,
Class of Record,1243,Spring2024,2023,MCB,4997W,005,Senior Honors Research Thesis,Senior Honors Research Thesis,THE,Thesis Research,1,AR,Molecular and Cell Biology,By Arrangement,,MOLCELLBIO,Molecular and Cell Biology,UGRD,Undergraduate,UCONN,University of Connecticut,5,5,E,Enrollment Section,Honors Credit,3,3,,STORR,Storrs,STORRS,NRRSTOR,ARR,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,5,1,,,N,,,N,3,1,1243_MCB_4997W_005,,,248720177,1,002527,34021148,1,7744,0,Y,,1243+7744+MCB+4997W+005,,,,,,,
Class of Record,1243,Spring2024,2023,MCB,4997W,006,Senior Honors Research Thesis,Senior Honors Research Thesis,THE,Thesis Research,3,AR,Molecular and Cell Biology,By Arrangement,,MOLCELLBIO,Molecular and Cell Biology,UGRD,Undergraduate,UCONN,University of Connecticut,5,5,E,Enrollment Section,Honors Credit,3,3,,STORR,Storrs,STORRS,NRRSTOR,ARR,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,6,1,,,N,,,N,3,1,1243_MCB_4997W_006,,,248721402,1,002527,34021148,1,7745,0,Y,,1243+7745+MCB+4997W+006,,,,,,,
Class of Record,1243,Spring2024,2023,MCB,4997W,010,Senior Honors Research Thesis,Senior Honors Research Thesis,THE,Thesis Research,1,AR,Molecular and Cell Biology,By Arrangement,,MOLCELLBIO,Molecular and Cell Biology,UGRD,Undergraduate,UCONN,University of Connecticut,5,5,E,Enrollment Section,Honors Credit,3,3,,STORR,Storrs,STORRS,NRRSTOR,ARR,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,10,1,,,N,,,N,3,1,1243_MCB_4997W_010,,,248721406,1,002527,34021148,1,7749,0,Y,,1243+7749+MCB+4997W+010,,,,,,,
Class of Record,1243,Spring2024,2023,MCB,4997W,013,Senior Honors Research Thesis,Senior Honors Research Thesis,THE,Thesis Research,2,AR,Molecular and Cell Biology,By Arrangement,,MOLCELLBIO,Molecular and Cell Biology,UGRD,Undergraduate,UCONN,University of Connecticut,5,5,E,Enrollment Section,Honors Credit,3,3,,STORR,Storrs,STORRS,NRRSTOR,ARR,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,13,1,,,N,,,N,3,1,1243_MCB_4997W_013,,,248720186,1,002527,34021148,1,7752,0,Y,,1243+7752+MCB+4997W+013,,,,,,,
Class of Record,1243,Spring2024,2023,MCB,4997W,014,Senior Honors Research Thesis,Senior Honors Research Thesis,THE,Thesis Research,1,AR,Molecular and Cell Biology,By Arrangement,,MOLCELLBIO,Molecular and Cell Biology,UGRD,Undergraduate,UCONN,University of Connecticut,5,5,E,Enrollment Section,Honors Credit,3,3,,STORR,Storrs,STORRS,NRRSTOR,ARR,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,14,1,,,N,,,N,3,1,1243_MCB_4997W_014,,,248721411,1,002527,34021148,1,7753,0,Y,,1243+7753+MCB+4997W+014,,,,,,,
Class of Record,1243,Spring2024,2023,MCB,4997W,015,Senior Honors Research Thesis,Senior Honors Research Thesis,THE,Thesis Research,1,AR,Molecular and Cell Biology,By Arrangement,,MOLCELLBIO,Molecular and Cell Biology,UGRD,Undergraduate,UCONN,University of Connecticut,5,5,E,Enrollment Section,Honors Credit,3,3,,STORR,Storrs,STORRS,NRRSTOR,ARR,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,15,1,,,N,,,N,3,1,1243_MCB_4997W_015,,,248720188,1,002527,34021148,1,7754,0,Y,,1243+7754+MCB+4997W+015,,,,,,,
Class of Record,1243,Spring2024,2023,MCB,4997W,016,Senior Honors Research Thesis,Senior Honors Research Thesis,THE,Thesis Research,2,AR,Molecular and Cell Biology,By Arrangement,,MOLCELLBIO,Molecular and Cell Biology,UGRD,Undergraduate,UCONN,University of Connecticut,5,5,E,Enrollment Section,Honors Credit,3,3,,STORR,Storrs,STORRS,NRRSTOR,ARR,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,16,1,,,N,,,N,3,1,1243_MCB_4997W_016,,,248721413,1,002527,34021148,1,7755,0,Y,,1243+7755+MCB+4997W+016,,,,,,,
Class of Record,1243,Spring2024,2023,MCB,4997W,018,Senior Honors Research Thesis,Senior Honors Research Thesis,THE,Thesis Research,2,AR,Molecular and Cell Biology,By Arrangement,,MOLCELLBIO,Molecular and Cell Biology,UGRD,Undergraduate,UCONN,University of Connecticut,5,5,E,Enrollment Section,Honors Credit,3,3,,STORR,Storrs,STORRS,NRRSTOR,ARR,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,18,1,,,N,,,N,3,1,1243_MCB_4997W_018,,,248721416,1,002527,34021148,1,7757,0,Y,,1243+7757+MCB+4997W+018,,,,,,,
Class of Record,1243,Spring2024,2023,MCB,4997W,020,Senior Honors Research Thesis,Senior Honors Research Thesis,THE,Thesis Research,1,AR,Molecular and Cell Biology,By Arrangement,,MOLCELLBIO,Molecular and Cell Biology,UGRD,Undergraduate,UCONN,University of Connecticut,5,5,E,Enrollment Section,Honors Credit,3,3,,STORR,Storrs,STORRS,NRRSTOR,ARR,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,20,1,,,N,,,N,3,1,1243_MCB_4997W_020,,,248721418,1,002527,34021148,1,7759,0,Y,,1243+7759+MCB+4997W+020,,,,,,,
Class of Record,1243,Spring2024,2023,MCB,4997W,022,Senior Honors Research Thesis,Senior Honors Research Thesis,THE,Thesis Research,3,AR,Molecular and Cell Biology,By Arrangement,,MOLCELLBIO,Molecular and Cell Biology,UGRD,Undergraduate,UCONN,University of Connecticut,5,5,E,Enrollment Section,Honors Credit,3,3,,STORR,Storrs,STORRS,NRRSTOR,ARR,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,22,1,,,N,,,N,3,1,1243_MCB_4997W_022,,,248721420,1,002527,34021148,1,7761,0,Y,,1243+7761+MCB+4997W+022,,,,,,,
Class of Record,1243,Spring2024,2023,MCB,4997W,023,Senior Honors Research Thesis,Senior Honors Research Thesis,THE,Thesis Research,2,AR,Molecular and Cell Biology,By Arrangement,,MOLCELLBIO,Molecular and Cell Biology,UGRD,Undergraduate,UCONN,University of Connecticut,5,5,E,Enrollment Section,Honors Credit,3,3,,STORR,Storrs,STORRS,NRRSTOR,ARR,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,23,1,,,N,,,N,3,1,1243_MCB_4997W_023,,,248720196,1,002527,34021148,1,7762,0,Y,,1243+7762+MCB+4997W+023,,,,,,,
Class of Record,1243,Spring2024,2023,MCB,4997W,027,Senior Honors Research Thesis,Senior Honors Research Thesis,THE,Thesis Research,1,AR,Molecular and Cell Biology,By Arrangement,,MOLCELLBIO,Molecular and Cell Biology,UGRD,Undergraduate,UCONN,University of Connecticut,5,5,E,Enrollment Section,Honors Credit,3,3,,STORR,Storrs,STORRS,NRRSTOR,ARR,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,27,1,,,N,,,N,3,1,1243_MCB_4997W_027,,,248721499,1,002527,34021148,1,7766,0,Y,,1243+7766+MCB+4997W+027,,,,,,,
Class of Record,1243,Spring2024,2023,MCB,4997W,029,Senior Honors Research Thesis,Senior Honors Research Thesis,THE,Thesis Research,1,AR,Molecular and Cell Biology,By Arrangement,,MOLCELLBIO,Molecular and Cell Biology,UGRD,Undergraduate,UCONN,University of Connecticut,5,5,E,Enrollment Section,Honors Credit,3,3,,STORR,Storrs,STORRS,NRRSTOR,ARR,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,29,1,,,N,,,N,3,1,1243_MCB_4997W_029,,,248720283,1,002527,34021148,1,7767,0,Y,,1243+7767+MCB+4997W+029,,,,,,,
Class of Record,1243,Spring2024,2023,MCB,4997W,032,Senior Honors Research Thesis,Senior Honors Research Thesis,THE,Thesis Research,1,AR,Molecular and Cell Biology,By Arrangement,,MOLCELLBIO,Molecular and Cell Biology,UGRD,Undergraduate,UCONN,University of Connecticut,5,5,E,Enrollment Section,Honors Credit,3,3,,STORR,Storrs,STORRS,NRRSTOR,ARR,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,32,1,,,N,,,N,3,1,1243_MCB_4997W_032,,,248721502,1,002527,34021148,1,7770,0,Y,,1243+7770+MCB+4997W+032,,,,,,,
Class of Record,1243,Spring2024,2023,MCB,4997W,033,Senior Honors Research Thesis,Senior Honors Research Thesis,THE,Thesis Research,5,P,Molecular and Cell Biology,In Person,,MOLCELLBIO,Molecular and Cell Biology,UGRD,Undergraduate,UCONN,University of Connecticut,12,12,E,Enrollment Section,Honors Credit,3,3,,STORR,Storrs,STORRS,0252,263,RSRC,24,NNYNYNN,75,55800,60300,03:30:00 PM,04:45:00 PM,2024-01-16,2024-04-26,,,33,1,,,N,,,N,3,1,1243_MCB_4997W_033,,,248720289,1,002527,34021148,1,7771,0,Y,,1243+7771+MCB+4997W+033,,,,,,,
Class of Record,1243,Spring2024,2023,MCB,3895,003,Special Topics,Special Topics,LSA,Lecture - Stand Alone,18,P,Molecular and Cell Biology,In Person,Effect. Pres. of Topics in MCB,MOLCELLBIO,Molecular and Cell Biology,UGRD,Undergraduate,UCONN,University of Connecticut,20,20,E,Enrollment Section,Graded,6,1,Variable Credits,STORR,Storrs,STORRS,0384,201,CONF,21,NNNYNNN,120,52200,59400,02:30:00 PM,04:30:00 PM,2024-01-16,2024-04-26,,,3,2,,,Y,,,N,1,99,1243_MCB_3895_003,,,248721505,1,002530,34026381,1,7774,22,Y,34009905,1243+7774+MCB+3895+003,,,,,,,
Class of Record,1243,Spring2024,2023,MCB,3899,001,Independent Study,Independent Study,IND,Independent Study,22,AR,Molecular and Cell Biology,By Arrangement,,MOLCELLBIO,Molecular and Cell Biology,UGRD,Undergraduate,UCONN,University of Connecticut,5,5,E,Enrollment Section,Graded,6,1,Variable Credits,STORR,Storrs,STORRS,NRRSTOR,ARR,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,1,1,,,Y,,,N,1,99,1243_MCB_3899_001,,,248720293,1,002531,34016026,1,7775,0,Y,,1243+7775+MCB+3899+001,,,,,,,
Class of Record,1243,Spring2024,2023,MCB,3899,007,Independent Study,Independent Study,IND,Independent Study,1,AR,Molecular and Cell Biology,By Arrangement,,MOLCELLBIO,Molecular and Cell Biology,UGRD,Undergraduate,UCONN,University of Connecticut,5,5,E,Enrollment Section,Graded,6,1,Variable Credits,STORR,Storrs,STORRS,NRRSTOR,ARR,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,7,1,,,Y,,,N,1,99,1243_MCB_3899_007,,,248721510,1,002531,34016026,1,7780,0,Y,,1243+7780+MCB+3899+007,,,,,,,
Class of Record,1243,Spring2024,2023,MCB,3899,010,Independent Study,Independent Study,IND,Independent Study,4,AR,Molecular and Cell Biology,By Arrangement,,MOLCELLBIO,Molecular and Cell Biology,UGRD,Undergraduate,UCONN,University of Connecticut,5,5,E,Enrollment Section,Graded,6,1,Variable Credits,STORR,Storrs,STORRS,NRRSTOR,ARR,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,10,1,,,Y,,,N,1,99,1243_MCB_3899_010,,,248720301,1,002531,34016026,1,7783,0,Y,,1243+7783+MCB+3899+010,,,,,,,
Class of Record,1243,Spring2024,2023,MCB,3899,018,Independent Study,Independent Study,IND,Independent Study,1,AR,Molecular and Cell Biology,By Arrangement,,MOLCELLBIO,Molecular and Cell Biology,UGRD,Undergraduate,UCONN,University of Connecticut,5,5,E,Enrollment Section,Graded,6,1,Variable Credits,STORR,Storrs,STORRS,NRRSTOR,ARR,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,18,1,,,Y,,,N,1,99,1243_MCB_3899_018,,,248720397,1,002531,34016026,1,7787,0,Y,,1243+7787+MCB+3899+018,,,,,,,
Class of Record,1243,Spring2024,2023,MCB,3899,021,Independent Study,Independent Study,IND,Independent Study,9,AR,Molecular and Cell Biology,By Arrangement,,MOLCELLBIO,Molecular and Cell Biology,UGRD,Undergraduate,UCONN,University of Connecticut,5,5,E,Enrollment Section,Graded,6,1,Variable Credits,STORR,Storrs,STORRS,NRRSTOR,ARR,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,21,1,,,Y,,,N,1,99,1243_MCB_3899_021,,,248720399,1,002531,34016026,1,7789,0,Y,,1243+7789+MCB+3899+021,,,,,,,
Class of Record,1243,Spring2024,2023,MCB,3899,023,Independent Study,Independent Study,IND,Independent Study,2,AR,Molecular and Cell Biology,By Arrangement,,MOLCELLBIO,Molecular and Cell Biology,UGRD,Undergraduate,UCONN,University of Connecticut,5,5,E,Enrollment Section,Graded,6,1,Variable Credits,STORR,Storrs,STORRS,NRRSTOR,ARR,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,23,1,,,Y,,,N,1,99,1243_MCB_3899_023,,,248720401,1,002531,34016026,1,7791,0,Y,,1243+7791+MCB+3899+023,,,,,,,
Class of Record,1243,Spring2024,2023,MCB,3899,035,Independent Study,Independent Study,IND,Independent Study,1,AR,Molecular and Cell Biology,By Arrangement,Learning Support,MOLCELLBIO,Molecular and Cell Biology,UGRD,Undergraduate,UCONN,University of Connecticut,40,40,E,Enrollment Section,Graded,6,1,Variable Credits,STORR,Storrs,STORRS,NRRSTOR,ARR,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,35,1,,,Y,,,N,1,99,1243_MCB_3899_035,,,248720410,1,002531,34016026,1,7799,4,Y,34014765,1243+7799+MCB+3899+035,,,,,,,
Class of Record,1243,Spring2024,2023,MCB,3899,036,Independent Study,Independent Study,IND,Independent Study,37,AR,Molecular and Cell Biology,By Arrangement,Laboratory Assistants,MOLCELLBIO,Molecular and Cell Biology,UGRD,Undergraduate,UCONN,University of Connecticut,35,35,E,Enrollment Section,Graded,6,1,Variable Credits,STORR,Storrs,STORRS,NRRSTOR,ARR,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,36,1,,,Y,,,N,1,99,1243_MCB_3899_036,,,248721607,1,002531,34016026,1,7800,2,Y,34014765,1243+7800+MCB+3899+036,,,,,,,
Class of Record,1243,Spring2024,2023,MCB,3899,050,Independent Study,Independent Study,IND,Independent Study,6,AR,Molecular and Cell Biology,By Arrangement,,MOLCELLBIO,Molecular and Cell Biology,UGRD,Undergraduate,UCONN,University of Connecticut,5,5,E,Enrollment Section,Graded,6,1,Variable Credits,STORR,Storrs,STORRS,NRRSTOR,ARR,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,50,1,,,Y,,,N,1,99,1243_MCB_3899_050,,,248721615,1,002531,34016026,1,7806,0,Y,,1243+7806+MCB+3899+050,,,,,,,
Class of Record,1243,Spring2024,2023,MCB,5013,001,Struct/Function Biol Macromol,Structure and Function of Biological Macromolecules,LSA,Lecture - Stand Alone,8,P,Molecular and Cell Biology,In Person,,MOLCELLBIO,Molecular and Cell Biology,GRAD,Graduate,UCONN,University of Connecticut,16,16,E,Enrollment Section,Graded,3,3,,STORR,Storrs,STORRS,0318,124,CSRM,34,NNYNYNN,75,45000,49500,12:30:00 PM,01:45:00 PM,2024-01-16,2024-04-26,,,1,1,,,N,,,N,3,1,1243_MCB_5013_001,,,248720419,1,002544,34026528,1,7807,0,Y,,1243+7807+MCB+5013+001,0,1243-0125,32,21,B,MCB 4009/5013 (001),C
Class of Record,1243,Spring2024,2023,MCB,5284,001,Current Topic Cell and Dev Bio,Current Topics in Cell and Developmental Biology,SEM,Seminar,10,P,Molecular and Cell Biology,In Person,,MOLCELLBIO,Molecular and Cell Biology,GRAD,Graduate,UCONN,University of Connecticut,15,15,E,Enrollment Section,Satisfactory/Unsatisfactory,1,1,,STORR,Storrs,STORRS,0252,263,RSRC,24,NNNNYNN,60,45000,48600,12:30:00 PM,01:30:00 PM,2024-01-16,2024-04-26,,,1,1,,,N,,,N,1,6,1243_MCB_5284_001,,,248721617,1,002545,34019125,1,7808,0,Y,,1243+7808+MCB+5284+001,,,,,,,
Class of Record,1243,Spring2024,2023,MCB,5616,001,Experiments Bacterial Genetics,Experiments in Bacterial Genetics,LAB,Laboratory,7,P,Molecular and Cell Biology,In Person,,MOLCELLBIO,Molecular and Cell Biology,GRAD,Graduate,UCONN,University of Connecticut,4,4,E,Enrollment Section,Graded,3,3,,STORR,Storrs,STORRS,0331B,009,LAB,20,NNYNYNN,210,34200,46800,09:30:00 AM,01:00:00 PM,2024-01-16,2024-04-26,,,1,1,,1,N,,,N,3,1,1243_MCB_5616_001,,,248721703,1,002547,34019269,1,7809,0,Y,,1243+7809+MCB+5616+001,1,1243-0129,14,13,B,MCB 4624/5616 (001),C
Class of Record,1243,Spring2024,2023,MCB,5025,001,Struc/Funct of Biol Membranes,Structure and Function of Biological Membranes,LSA,Lecture - Stand Alone,13,P,Molecular and Cell Biology,In Person,,MOLCELLBIO,Molecular and Cell Biology,GRAD,Graduate,UCONN,University of Connecticut,25,25,E,Enrollment Section,Graded,3,3,,STORR,Storrs,STORRS,0001,117,CSRM,25,NNYNYNN,75,50400,54900,02:00:00 PM,03:15:00 PM,2024-01-16,2024-04-26,,,1,1,,,N,00091,Biological Membranes,N,3,1,1243_MCB_5025_001,,,248720523,1,002556,34026454,1,7810,0,Y,,1243+7810+MCB+5025+001,,,,,,,
Multiple meeting time - remove,1243,Spring2024,2023,MCB,5427,001,Lab Techniques Funct Genomics,Laboratory Techniques in Functional Genomics,LAB,Laboratory,12,P,Molecular and Cell Biology,In Person,Introduction to Molecular Biol,MOLCELLBIO,Molecular and Cell Biology,GRAD,Graduate,UCONN,University of Connecticut,12,12,E,Enrollment Section,Graded,1,1,,STORR,Storrs,STORRS,0252,417,LAB,12,NNNNNYN,240,0,0,Variable Meeting Time,Variable Meeting Time,2024-01-16,2024-04-26,,,1,1,,,Y,,,N,1,7,1243_MCB_5427_001,,,248721705,1,002558,34017008,1,7811,15,Y,34014260,1243+7811+MCB+5427+001,,,,,,,
Class of Record,1243,Spring2024,2023,MCB,5427,001,Lab Techniques Funct Genomics,Laboratory Techniques in Functional Genomics,LAB,Laboratory,12,P,Molecular and Cell Biology,In Person,Introduction to Molecular Biol,MOLCELLBIO,Molecular and Cell Biology,GRAD,Graduate,UCONN,University of Connecticut,12,12,E,Enrollment Section,Graded,1,1,,STORR,Storrs,STORRS,0252,417,LAB,12,YNNNNNY,480,0,0,Variable Meeting Time,Variable Meeting Time,2024-01-16,2024-04-26,,,1,1,,,Y,,,N,1,7,1243_MCB_5427_001,,,248721705,1,002558,34017008,1,7811,15,Y,34014260,1243+7811+MCB+5427+001,,,,,,,
Multiple meeting time - remove,1243,Spring2024,2023,MCB,5427,002,Lab Techniques Funct Genomics,Laboratory Techniques in Functional Genomics,LAB,Laboratory,12,P,Molecular and Cell Biology,In Person,Real Time PCR Techniques,MOLCELLBIO,Molecular and Cell Biology,GRAD,Graduate,UCONN,University of Connecticut,12,12,E,Enrollment Section,Graded,1,1,,STORR,Storrs,STORRS,0252,417,LAB,12,NNNNNYN,250,0,0,Variable Meeting Time,Variable Meeting Time,2024-01-16,2024-04-26,,,2,1,,,Y,,,N,1,7,1243_MCB_5427_002,,,248720525,1,002558,34017008,1,7812,20,Y,34014260,1243+7812+MCB+5427+002,,,,,,,
Class of Record,1243,Spring2024,2023,MCB,5427,002,Lab Techniques Funct Genomics,Laboratory Techniques in Functional Genomics,LAB,Laboratory,12,P,Molecular and Cell Biology,In Person,Real Time PCR Techniques,MOLCELLBIO,Molecular and Cell Biology,GRAD,Graduate,UCONN,University of Connecticut,12,12,E,Enrollment Section,Graded,1,1,,STORR,Storrs,STORRS,0252,417,LAB,12,YNNNNNY,450,0,0,Variable Meeting Time,Variable Meeting Time,2024-01-16,2024-04-26,,,2,1,,,Y,,,N,1,7,1243_MCB_5427_002,,,248720525,1,002558,34017008,1,7812,20,Y,34014260,1243+7812+MCB+5427+002,,,,,,,
Multiple meeting time - remove,1243,Spring2024,2023,MCB,5427,003,Lab Techniques Funct Genomics,Laboratory Techniques in Functional Genomics,LAB,Laboratory,12,P,Molecular and Cell Biology,In Person,Genotyping&Sequencing Tech,MOLCELLBIO,Molecular and Cell Biology,GRAD,Graduate,UCONN,University of Connecticut,12,12,E,Enrollment Section,Graded,1,1,,STORR,Storrs,STORRS,0252,267,LAB,16,NNNNNYN,250,0,0,Variable Meeting Time,Variable Meeting Time,2024-01-16,2024-04-26,,,3,1,,,Y,,,N,1,7,1243_MCB_5427_003,,,248721706,1,002558,34017008,1,7813,11,Y,34014260,1243+7813+MCB+5427+003,,,,,,,
Class of Record,1243,Spring2024,2023,MCB,5427,003,Lab Techniques Funct Genomics,Laboratory Techniques in Functional Genomics,LAB,Laboratory,12,P,Molecular and Cell Biology,In Person,Genotyping&Sequencing Tech,MOLCELLBIO,Molecular and Cell Biology,GRAD,Graduate,UCONN,University of Connecticut,12,12,E,Enrollment Section,Graded,1,1,,STORR,Storrs,STORRS,0252,417,LAB,12,YNNNNNY,450,0,0,Variable Meeting Time,Variable Meeting Time,2024-01-16,2024-04-26,,,3,1,,,Y,,,N,1,7,1243_MCB_5427_003,,,248721706,1,002558,34017008,1,7813,11,Y,34014260,1243+7813+MCB+5427+003,,,,,,,
